2025-09-01 21:06:27.329 INFO  [background-preinit] traceId= userId= o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-09-01 21:06:27.384 INFO  [main] traceId= userId= c.m.s.s.ManpowerBlogApplication - Starting ManpowerBlogApplication using Java 21.0.5 with PID 23548 (C:\Users\yx186\Desktop\ideaproject\manpower-blog\blog-starter\target\classes started by yx186 in C:\Users\yx186\Desktop\ideaproject\manpower-blog)
2025-09-01 21:06:27.384 INFO  [main] traceId= userId= c.m.s.s.ManpowerBlogApplication - The following 1 profile is active: "dev"
2025-09-01 21:06:28.723 INFO  [main] traceId= userId= o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-09-01 21:06:28.737 INFO  [main] traceId= userId= o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-09-01 21:06:28.739 INFO  [main] traceId= userId= o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-09-01 21:06:28.739 INFO  [main] traceId= userId= o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-09-01 21:06:28.791 INFO  [main] traceId= userId= o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-01 21:06:28.793 INFO  [main] traceId= userId= o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1373 ms
2025-09-01 21:06:29.261 WARN  [main] traceId= userId= o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 75de1c5c-2903-4ab1-ae0e-3fac00629ca6

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-09-01 21:06:29.287 INFO  [main] traceId= userId= o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2025-09-01 21:06:29.724 INFO  [main] traceId= userId= o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-09-01 21:06:29.737 INFO  [main] traceId= userId= o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-09-01 21:06:29.743 INFO  [main] traceId= userId= c.m.s.s.ManpowerBlogApplication - Started ManpowerBlogApplication in 2.997 seconds (process running for 3.583)
2025-09-01 21:06:29.746 INFO  [main] traceId= userId= c.m.s.s.f.redis.RedisHealthCheck - Redis 已禁用，跳过启动自检。
2025-09-01 21:26:57.085 INFO  [SpringApplicationShutdownHook] traceId= userId= o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-09-01 21:26:57.090 INFO  [tomcat-shutdown] traceId= userId= o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-09-01 21:27:01.857 INFO  [background-preinit] traceId= userId= o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2025-09-01 21:27:01.895 INFO  [main] traceId= userId= c.m.s.s.ManpowerBlogApplication - Starting ManpowerBlogApplication using Java 21.0.5 with PID 31024 (C:\Users\yx186\Desktop\ideaproject\manpower-blog\blog-starter\target\classes started by yx186 in C:\Users\yx186\Desktop\ideaproject\manpower-blog)
2025-09-01 21:27:01.896 INFO  [main] traceId= userId= c.m.s.s.ManpowerBlogApplication - The following 1 profile is active: "dev"
2025-09-01 21:27:03.081 INFO  [main] traceId= userId= o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-09-01 21:27:03.094 INFO  [main] traceId= userId= o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-09-01 21:27:03.095 INFO  [main] traceId= userId= o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-09-01 21:27:03.095 INFO  [main] traceId= userId= o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
2025-09-01 21:27:03.142 INFO  [main] traceId= userId= o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-09-01 21:27:03.142 INFO  [main] traceId= userId= o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1215 ms
